LA Lakers
 Ray Allen 	79 	79 	36.4 	.480 	.409 	.952 	.80 	2.70 	3.50 	2.8 	.87 	.16 	1.70 	2.00 	18.2
 Kevin Garnett 	57 	57 	31.1 	.531 	.250 	.841 	1.40 	7.10 	8.50 	2.5 	1.11 	1.19 	1.58 	2.20 	15.8
 Rajon Rondo 	80 	80 	33.0 	.505 	.313 	.642 	1.30 	4.00 	5.20 	8.2 	1.86 	.14 	2.61 	2.40 	11.9
 Eddie House 	81 	0 	18.3 	.445 	.444 	.792 	.10 	1.80 	1.90 	1.1 	.75 	.09 	.68 	1.40 	8.5
 Kendrick Perkins 	76 	76 	29.6 	.577 	.000 	.600 	2.70 	5.50 	8.10 	1.3 	.29 	1.97 	2.17 	3.30 	8.5
 Tony Allen 	46 	2 	19.3 	.482 	.222 	.725 	.50 	1.80 	2.30 	1.4 	1.17 	.50 	1.67 	2.10 	7.8
 Leon Powe 	70 	7 	17.5 	.524 	.000 	.689 	2.10 	2.90 	4.90 	.7 	.34 	.54 	1.09 	2.70 	7.7
 Glen Davis 	76 	16 	21.5 	.442 	.400 	.730 	1.60 	2.40 	4.00 	.9 	.70 	.25 	.93 	3.00 	7.0
 Mikki Moore 	70 	20 	17.2 	.553 	.000 	.787 	1.10 	2.60 	3.70 	.8 	.24 	.27 	.69 	3.00 	3.9
 Stephon Marbury 	23 	4 	18.0 	.342 	.240 	.462 	.10 	1.10 	1.20 	3.3 	.43 	.13 	1.61 	1.50 	3.8
 Brian Scalabrine 	39 	8 	12.9 	.421 	.393 	.889 	.20 	1.10 	1.30 	.5 	.18 	.26 	.31 	1.90 	3.5
Dallas Mavericks 
 Dirk Nowitzki  	 81  	 81  	 37.7  	 .479  	 .359  	 .890 	 1.10 	 7.30 	 8.40 	 2.4 	 .75 	 .78 	 1.94 	 2.20 	 25.9
 Jason Terry 	74 	11 	33.7 	.463 	.366 	.880 	.50 	1.90 	2.40 	3.4 	1.31 	.27 	1.61 	1.90 	19.6
 Josh Howard 	52 	51 	32.0 	.451 	.345 	.782 	1.10 	3.90 	5.10 	1.6 	1.06 	.58 	1.71 	2.60 	18.0
 Jason Kidd 	81 	81 	35.6 	.416 	.406 	.819 	1.00 	5.10 	6.20 	8.7 	1.98 	.48 	2.28 	2.10 	9.0
 Brandon Bass 	81 	0 	19.4 	.496 	.000 	.867 	1.60 	2.90 	4.50 	.5 	.33 	.68 	1.06 	1.70 	8.5
 Jose Barea 	79 	15 	20.3 	.442 	.357 	.753 	.50 	1.80 	2.20 	3.4 	.47 	.06 	1.33 	1.50 	7.8
 Antoine Wright 	65 	53 	23.9 	.415 	.302 	.747 	.50 	1.60 	2.10 	1.2 	.71 	.42 	.83 	2.60 	7.3
 Erick Dampier 	80 	80 	23.0 	.650 	.000 	.638 	2.70 	4.40 	7.10 	1.0 	.30 	1.19 	.93 	2.40 	5.7
 James Singleton 	62 	6 	14.3 	.529 	.325 	.859 	1.40 	2.60 	4.00 	.3 	.42 	.45 	.58 	1.80 	5.1
 Devean George 	43 	17 	16.5 	.380 	.289 	.773 	.60 	1.20 	1.80 	.3 	.53 	.26 	.40 	1.30 	3.4
 Ryan Hollins 	45 	3 	9.9 	.532 	.000 	.597 	1.00 	1.10 	2.20 	.2 	.16 	.71 	.53 	1.70 	3.2
 Matt Carroll 	55 	10 	11.2 	.380 	.245 	.840 	.10 	1.10 	1.30 	.5 	.38 	.11 	.60 	1.20 	3.0
New Jersey Nets 
  Devin Harris  	 69  	 69  	 36.1  	 .438  	 .291  	 .820 	 .40 	 2.90 	 3.30 	 6.9 	 1.65 	 .19 	 3.07 	 2.40 	 21.3
 Vince Carter 	80 	80 	36.8 	.437 	.385 	.817 	.90 	4.20 	5.10 	4.7 	1.03 	.48 	2.08 	2.90 	20.8
 Brook Lopez 	82 	75 	30.5 	.531 	.000 	.793 	2.70 	5.40 	8.10 	1.0 	.54 	1.84 	1.79 	3.10 	13.0
 Keyon Dooling 	77 	18 	26.9 	.436 	.421 	.825 	.30 	1.70 	2.00 	3.5 	.92 	.10 	1.36 	1.80 	9.7
 Jarvis Hayes 	74 	1 	24.8 	.445 	.385 	.692 	.40 	3.20 	3.60 	.7 	.70 	.09 	.66 	2.20 	8.7
 Yi Jianlian 	61 	52 	23.3 	.382 	.343 	.772 	1.10 	4.20 	5.30 	1.0 	.48 	.59 	1.15 	2.60 	8.6
 Bobby Simmons 	71 	44 	24.4 	.449 	.447 	.741 	1.00 	2.90 	3.90 	1.3 	.70 	.14 	.87 	2.60 	7.8
 Ryan Anderson 	66 	30 	19.9 	.393 	.365 	.845 	1.60 	3.10 	4.70 	.8 	.67 	.30 	.95 	2.40 	7.4
 Chris Douglas-Roberts 	44 	3 	13.3 	.460 	.250 	.823 	.30 	.80 	1.10 	1.2 	.27 	.16 	.70 	.80 	4.9
 Josh Boone 	62 	7 	16.0 	.528 	.000 	.376 	1.70 	2.50 	4.20 	.5 	.35 	.77 	.50 	1.70 	4.2
 Trenton Hassell 	53 	31 	20.6 	.450 	.250 	.800 	.90 	1.80 	2.80 	1.0 	.40 	.30 	.57 	1.70 	3.7
 Eduardo Najera 	27 	0 	11.8 	.446 	.200 	.364 	.60 	1.90 	2.50 	.7 	.37 	.15 	.67 	1.90 	2.9
Houston Rockets 
  Yao Ming  	 77  	 77  	 33.6  	 .548  	 1.000  	 .866 	 2.60 	 7.20 	 9.90 	 1.8 	 .39 	 1.95 	 3.04 	 3.30 	 19.7
 Ron Artest 	69 	55 	35.5 	.401 	.399 	.748 	.90 	4.30 	5.20 	3.3 	1.52 	.35 	2.03 	2.20 	17.1
 Tracy McGrady 	35 	35 	33.7 	.388 	.376 	.801 	.60 	3.80 	4.40 	5.0 	1.20 	.43 	1.97 	1.10 	15.6
 Luis Scola 	82 	82 	30.3 	.531 	.000 	.760 	2.40 	6.30 	8.80 	1.5 	.83 	.13 	1.50 	3.20 	12.7
 Aaron Brooks 	80 	35 	25.0 	.404 	.366 	.866 	.40 	1.60 	2.00 	3.0 	.58 	.10 	1.56 	1.90 	11.2
 Von Wafer 	63 	11 	19.4 	.447 	.390 	.752 	.30 	1.50 	1.80 	1.1 	.63 	.13 	.94 	1.10 	9.7
 Carl Landry 	69 	0 	21.3 	.574 	.333 	.813 	1.80 	3.20 	5.00 	.6 	.38 	.45 	.99 	2.40 	9.2
 Kyle Lowry 	77 	21 	21.8 	.435 	.255 	.801 	.30 	2.10 	2.50 	3.6 	.90 	.22 	1.52 	1.90 	7.6
 Shane Battier 	60 	59 	33.9 	.410 	.384 	.821 	.90 	3.90 	4.80 	2.3 	.80 	.90 	.82 	1.90 	7.3
 Brent Barry 	56 	1 	15.3 	.407 	.374 	.950 	.30 	1.40 	1.70 	1.4 	.43 	.05 	.86 	.80 	3.7
 Brian Cook 	30 	0 	5.7 	.368 	.433 	.833 	.20 	.80 	1.10 	.2 	.10 	.10 	.43 	.90 	2.5
 Chuck Hayes 	71 	1 	12.1 	.372 	.000 	.368 	1.00 	2.50 	3.50 	.6 	.48 	.27 	.35 	1.90 	1.3
 New York Knicks
 Al Harrington 	73 	56 	34.9 	.439 	.364 	.793 	1.40 	4.90 	6.20 	1.4 	1.21 	.30 	2.21 	3.10 	20.1
 Nate Robinson 	74 	11 	29.9 	.437 	.325 	.841 	1.30 	2.60 	3.90 	4.1 	1.28 	.08 	1.88 	2.80 	17.2
 David Lee 	81 	74 	34.9 	.549 	.000 	.755 	3.20 	8.60 	11.70 	2.1 	.99 	.27 	1.85 	3.20 	16.0
 Wilson Chandler 	82 	70 	33.4 	.432 	.328 	.795 	1.10 	4.30 	5.40 	2.1 	.87 	.91 	1.70 	3.00 	14.4
 Larry Hughes 	55 	20 	26.9 	.402 	.389 	.807 	.30 	2.60 	2.90 	2.2 	1.31 	.25 	1.29 	1.70 	11.6
 Chris Duhon 	79 	78 	36.8 	.421 	.391 	.856 	.60 	2.50 	3.10 	7.2 	.91 	.09 	2.80 	1.60 	11.1
 Quentin Richardson 	72 	51 	26.3 	.393 	.365 	.761 	1.00 	3.40 	4.40 	1.6 	.65 	.10 	1.03 	1.80 	10.2
 Danilo Gallinari 	28 	2 	14.7 	.448 	.444 	.963 	.50 	1.50 	2.00 	.5 	.50 	.14 	.54 	1.70 	6.1
 Chris Wilcox 	62 	6 	16.9 	.497 	.000 	.564 	1.50 	2.90 	4.50 	.8 	.42 	.26 	1.21 	2.20 	7.2
 Jared Jeffries 	56 	36 	23.4 	.440 	.083 	.611 	2.30 	1.80 	4.10 	1.4 	.84 	.59 	1.16 	2.70 	5.3
 Mouhamed Sene 	6 	0 	4.7 	.667 	.000 	.800 	.80 	1.50 	2.30 	.0 	.17 	.50 	.67 	.30 	3.3
 Cheikh Samb 	18 	0 	4.6 	.188 	.000 	.429 	.60 	.80 	1.30 	.1 	.17 	.56 	.17 	.40 	.8
Memphis Grizzlies
  Rudy Gay  	 79  	 78  	 37.3  	 .453  	 .351  	 .767 	 1.40 	 4.20 	 5.50 	 1.7 	 1.24 	 .75 	 2.57 	 2.80 	 18.9
 OJ Mayo 	82 	82 	38.0 	.438 	.384 	.879 	.70 	3.10 	3.80 	3.2 	1.11 	.16 	2.76 	2.50 	18.5
 Marc Gasol 	82 	75 	30.7 	.530 	.000 	.733 	2.50 	4.90 	7.40 	1.7 	.77 	1.10 	2.00 	3.20 	11.9
 Hakim Warrick 	82 	7 	24.7 	.491 	.217 	.711 	1.60 	3.40 	5.00 	.8 	.59 	.48 	1.20 	2.10 	11.6
 Mike Conley 	82 	61 	30.6 	.442 	.406 	.817 	.30 	3.10 	3.40 	4.3 	1.10 	.10 	1.74 	1.80 	10.9
 Darrell Arthur 	76 	64 	19.3 	.438 	.000 	.667 	1.40 	3.10 	4.60 	.6 	.68 	.68 	.62 	2.70 	5.6
 Darko Milicic 	61 	15 	17.0 	.515 	.000 	.562 	1.40 	3.00 	4.30 	.6 	.36 	.84 	.79 	2.20 	5.5
 Quinton Ross 	68 	7 	17.1 	.382 	.375 	.810 	.40 	1.40 	1.90 	.7 	.47 	.21 	.53 	1.70 	3.9
 Darius Miles 	34 	0 	8.8 	.485 	.167 	.742 	.60 	1.10 	1.70 	.5 	.32 	.59 	.62 	.90 	3.5
 Marko Jaric 	53 	0 	11.4 	.331 	.393 	.707 	.40 	.80 	1.20 	1.4 	.55 	.21 	.92 	1.20 	2.6
 Greg Buckner 	63 	0 	13.9 	.384 	.255 	.800 	.50 	1.60 	2.10 	.9 	.46 	.13 	.60 	1.70 	2.5
 Hamed Haddadi 	19 	0 	6.3 	.484 	.000 	.600 	.80 	1.60 	2.50 	.4 	.05 	.63 	.47 	1.10 	2.5
Philadelphia 76ers 
Andre Iguodala  	 82  	 82  	 39.9  	 .473  	 .307  	 .724 	 1.10 	 4.60 	 5.70 	 5.3 	 1.60 	 .44 	 2.71 	 1.90 	 18.8
 Andre Miller 	82 	82 	36.3 	.473 	.283 	.826 	1.50 	3.00 	4.50 	6.5 	1.33 	.17 	2.43 	2.40 	16.3
 Thaddeus Young 	75 	71 	34.4 	.495 	.341 	.735 	1.90 	3.20 	5.00 	1.1 	1.33 	.31 	1.57 	2.20 	15.3
 Elton Brand 	29 	23 	31.7 	.447 	.000 	.676 	2.70 	6.10 	8.80 	1.3 	.59 	1.55 	2.34 	2.70 	13.8
 Louis Williams 	81 	0 	23.7 	.398 	.286 	.790 	.40 	1.60 	2.00 	3.0 	1.05 	.17 	1.86 	1.60 	12.8
 Willie Green 	81 	60 	22.6 	.435 	.317 	.729 	.40 	1.20 	1.60 	2.0 	.65 	.16 	.79 	1.90 	8.5
 Marreese Speights 	79 	2 	16.0 	.502 	.250 	.773 	1.60 	2.20 	3.70 	.4 	.34 	.71 	.58 	2.30 	7.7
 Samuel Dalembert 	82 	82 	24.8 	.498 	.000 	.734 	2.60 	5.90 	8.50 	.2 	.40 	1.78 	1.43 	3.00 	6.4
 Donyell Marshall 	25 	0 	7.6 	.452 	.455 	.500 	.20 	1.40 	1.60 	.6 	.16 	.20 	.24 	1.00 	3.8
 Reggie Evans 	79 	7 	14.4 	.444 	.000 	.594 	1.70 	2.90 	4.60 	.3 	.52 	.10 	.87 	2.00 	3.3
 Royal Ivey 	71 	0 	12.1 	.332 	.342 	.791 	.30 	.80 	1.10 	.6 	.51 	.10 	.32 	1.10 	3.0
 Theo Ratliff 	46 	0 	12.6 	.531 	.000 	.600 	1.00 	1.80 	2.80 	.2 	.37 	1.02 	.30 	1.70 	1.9
New Orleans Hornets
 Chris Paul  	 78  	 78  	 38.5  	 .503  	 .364  	 .868 	 .90 	 4.70 	 5.50 	 11.0 	 2.77 	 .13 	 2.96 	 2.70 	 22.8
 David West 	76 	76 	39.2 	.472 	.240 	.884 	2.10 	6.40 	8.50 	2.3 	.64 	.89 	2.14 	2.70 	21.0
 Predrag Stojakovic 	61 	59 	34.2 	.399 	.378 	.894 	.70 	3.60 	4.30 	1.2 	.85 	.05 	.84 	1.70 	13.3
 Rasual Butler 	82 	74 	31.9 	.433 	.390 	.782 	.60 	2.70 	3.30 	.9 	.62 	.74 	.72 	1.90 	11.2
 James Posey 	75 	0 	28.5 	.412 	.369 	.822 	.50 	4.30 	4.80 	1.1 	.77 	.28 	1.05 	2.90 	8.9
 Tyson Chandler  	32 	32 	31.1 	.563 	.000 	.584 	3.50 	4.80 	8.30 	.5 	.34 	1.38 	1.34 	3.40 	8.8
 Devin Brown 	63 	5 	13.8 	.355 	.289 	.780 	.50 	1.40 	1.90 	.9 	.51 	.08 	.86 	1.30 	5.2
 Hilton Armstrong 	70 	29 	15.6 	.561 	.000 	.633 	1.20 	1.60 	2.80 	.4 	.37 	.64 	1.14 	2.60 	4.8
 Julian Wright 	54 	19 	14.3 	.466 	.095 	.567 	.90 	2.00 	2.80 	.8 	.65 	.35 	.80 	.90 	4.4
 Morris Peterson 	43 	9 	12.0 	.399 	.388 	.632 	.30 	1.70 	2.00 	.4 	.35 	.05 	.35 	1.20 	4.4
 Antonio Daniels 	74 	9 	13.8 	.419 	.367 	.800 	.10 	1.00 	1.00 	2.4 	.35 	.01 	.84 	.70 	4.1
 Sean Marks 	60 	5 	14.0 	.485 	.200 	.682 	1.00 	2.10 	3.10 	.2 	.12 	.55 	.58 	2.00 	3.2
San Antonio Spurs
 Tony Parker  	 72  	 71  	 34.1  	 .506  	 .292  	 .782 	 .40 	 2.70 	 3.10 	 6.9 	 .93 	 .06 	 2.58 	 1.50 	 22.0
 Tim Duncan 	75 	75 	33.6 	.504 	.000 	.692 	2.70 	8.00 	10.70 	3.5 	.51 	1.68 	2.20 	2.30 	19.3
 Manu Ginobili 	44 	7 	26.8 	.454 	.330 	.884 	.50 	4.00 	4.50 	3.6 	1.45 	.36 	2.00 	2.00 	15.5
 Roger Mason 	82 	71 	30.4 	.425 	.421 	.890 	.20 	2.90 	3.10 	2.1 	.49 	.15 	1.22 	2.00 	11.8
 Drew Gooden 	51 	28 	24.8 	.468 	.000 	.840 	2.20 	4.90 	7.10 	.9 	.59 	.35 	1.49 	2.80 	11.9
 Michael Finley 	81 	77 	28.8 	.437 	.411 	.823 	.30 	3.00 	3.30 	1.4 	.46 	.21 	.75 	1.00 	9.7
 Matt Bonner 	81 	67 	23.8 	.496 	.440 	.739 	1.20 	3.60 	4.80 	1.0 	.58 	.32 	.46 	2.30 	8.2
 George Hill 	77 	7 	16.5 	.403 	.329 	.781 	.40 	1.70 	2.10 	1.8 	.58 	.27 	.96 	1.90 	5.7
 Ime Udoka 	67 	3 	15.4 	.383 	.328 	.609 	.40 	2.40 	2.80 	.8 	.54 	.18 	.57 	1.30 	4.3
 Kurt Thomas 	79 	10 	17.8 	.503 	.000 	.822 	1.70 	3.40 	5.10 	.8 	.43 	.73 	.53 	2.20 	4.3
 Malik Hairston 	15 	0 	10.3 	.490 	.000 	.286 	.70 	1.10 	1.90 	.9 	.40 	.47 	.80 	1.30 	3.3
 Bruce Bowen 	80 	10 	18.9 	.422 	.429 	.538 	.20 	1.60 	1.80 	.5 	.45 	.16 	.31 	1.50 	2.7
Chicago Bulls
 Ben Gordon  	 82  	 76  	 36.6  	 .455  	 .410  	 .864 	 .60 	 2.80 	 3.50 	 3.4 	 .87 	 .27 	 2.44 	 2.20 	 20.7
 John Salmons  	79 	74 	37.5 	.472 	.417 	.830 	.70 	3.50 	4.20 	3.2 	1.05 	.30 	2.09 	2.30 	18.3
 Derrick Rose 	81 	80 	37.0 	.475 	.222 	.788 	1.20 	2.70 	3.90 	6.3 	.81 	.22 	2.49 	1.50 	16.8
 Luol Deng 	49 	46 	34.0 	.448 	.400 	.796 	1.60 	4.40 	6.00 	1.9 	1.22 	.51 	1.47 	1.70 	14.1
 Brad Miller  	70 	43 	30.0 	.476 	.411 	.824 	2.10 	5.60 	7.80 	3.3 	.74 	.51 	1.86 	3.20 	11.9
 Tyrus Thomas 	79 	61 	27.5 	.451 	.333 	.783 	1.90 	4.60 	6.40 	1.0 	1.15 	1.91 	1.63 	2.80 	10.8
 Kirk Hinrich 	51 	4 	26.3 	.437 	.408 	.791 	.30 	2.10 	2.40 	3.9 	1.29 	.37 	1.71 	2.50 	9.9
 Joakim Noah 	80 	55 	24.2 	.556 	.000 	.676 	3.10 	4.50 	7.60 	1.3 	.61 	1.38 	1.03 	3.00 	6.7
 Tim Thomas 	64 	6 	19.5 	.432 	.413 	.736 	.70 	2.50 	3.10 	1.1 	.48 	.17 	1.09 	2.30 	8.5
 Aaron Gray 	56 	18 	12.8 	.485 	.000 	.576 	1.50 	2.40 	3.90 	.8 	.25 	.32 	.71 	2.40 	3.5
 Lindsey Hunter 	28 	0 	9.5 	.329 	.333 	.600 	.10 	.40 	.40 	1.3 	.71 	.04 	.68 	1.00 	2.6
 Anthony Roberson  	29 	0 	9.5 	.367 	.321 	1.000 	.20 	.60 	.80 	.7 	.34 	.03 	.28 	.60 	4.1
Denver Nuggets
  Carmelo Anthony  	 66  	 66  	 34.5  	 .443  	 .371  	 .793 	 1.60 	 5.20 	 6.80 	 3.4 	 1.14 	 .36 	 3.02 	 3.00 	 22.8
 Chauncey Billups  	79 	79 	35.3 	.418 	.408 	.913 	.40 	2.60 	3.00 	6.4 	1.18 	.23 	2.24 	2.00 	17.7
 JR Smith 	81 	18 	27.7 	.446 	.397 	.754 	.50 	3.10 	3.70 	2.8 	.96 	.17 	1.85 	2.30 	15.2
Nene Nene 	77 	76 	32.6 	.604 	.200 	.723 	2.40 	5.40 	7.80 	1.4 	1.23 	1.31 	1.91 	3.60 	14.6
 Kenyon Martin 	66 	66 	32.0 	.491 	.368 	.604 	1.20 	4.80 	6.00 	2.0 	1.45 	1.12 	1.58 	3.00 	11.7
 Linas Kleiza 	82 	7 	22.2 	.447 	.326 	.725 	1.10 	2.90 	4.00 	.8 	.38 	.17 	1.00 	1.90 	9.9
 Chris Andersen 	71 	1 	20.6 	.548 	.200 	.718 	2.30 	3.90 	6.20 	.4 	.58 	2.46 	.97 	2.50 	6.4
 Dahntay Jones 	79 	71 	18.1 	.458 	.647 	.728 	.70 	1.40 	2.10 	1.0 	.62 	.24 	.86 	2.50 	5.4
 Anthony Carter 	78 	5 	22.9 	.433 	.239 	.731 	.50 	2.10 	2.60 	4.7 	1.23 	.17 	1.99 	1.80 	5.3
 Renaldo Balkman 	53 	10 	14.7 	.558 	.286 	.646 	1.60 	2.20 	3.80 	.6 	.89 	.43 	.66 	1.80 	5.0
 Johan Petro  	49 	22 	11.4 	.415 	.000 	.552 	.90 	2.40 	3.20 	.3 	.39 	.31 	.57 	2.20 	3.3
 Jason Hart  	39 	2 	8.9 	.319 	.000 	.783 	.30 	.80 	1.20 	1.2 	.31 	.10 	.56 	1.00 	2.0
Minnesota Timberwolves
  Al Jefferson  	 50  	 50  	 36.7  	 .497  	 .000  	 .738 	 3.40 	 7.50 	 11.00 	 1.6 	 .78 	 1.66 	 1.84 	 2.80 	 23.1
 Randy Foye 	70 	61 	35.6 	.407 	.360 	.846 	.50 	2.60 	3.10 	4.3 	1.03 	.37 	2.14 	2.90 	16.3
 Ryan Gomes 	82 	76 	31.9 	.431 	.372 	.807 	1.30 	3.50 	4.80 	1.6 	.77 	.27 	1.56 	2.20 	13.3
 Kevin Love 	81 	37 	25.3 	.459 	.105 	.789 	3.40 	5.70 	9.10 	1.0 	.43 	.62 	1.46 	2.50 	11.1
 Craig Smith 	74 	31 	19.7 	.562 	.000 	.677 	1.30 	2.50 	3.80 	1.1 	.42 	.26 	1.42 	2.50 	10.1
 Mike Miller 	73 	47 	32.3 	.482 	.378 	.732 	1.00 	5.60 	6.60 	4.5 	.41 	.42 	1.99 	1.90 	9.9
 Sebastian Telfair 	75 	43 	27.9 	.383 	.346 	.819 	.40 	1.30 	1.70 	4.6 	.97 	.16 	1.95 	2.50 	9.8
 Rodney Carney 	67 	6 	17.9 	.416 	.350 	.758 	.50 	1.30 	1.90 	.4 	.67 	.43 	.64 	1.40 	7.2
 Corey Brewer 	15 	8 	20.5 	.411 	.417 	.737 	1.20 	2.10 	3.30 	1.7 	1.00 	.20 	.87 	2.50 	6.2
 Bobby Brown  	68 	2 	13.7 	.392 	.346 	.791 	.20 	.60 	.80 	1.7 	.31 	.04 	.93 	1.40 	5.3
 Kevin Ollie 	50 	21 	17.0 	.407 	.000 	.833 	.30 	1.20 	1.50 	2.3 	.38 	.08 	.68 	1.60 	4.0
 Brian Cardinal 	64 	4 	14.2 	.385 	.326 	.857 	.60 	1.60 	2.20 	1.2 	.58 	.20 	.75 	2.10 	3.0
Detroit Pistons 
  Richard Hamilton  	 67  	 51  	 34.0  	 .447  	 .368  	 .848 	 .70 	 2.40 	 3.10 	 4.4 	 .60 	 .06 	 1.99 	 2.60 	 18.3
 Allen Iverson  	57 	53 	36.7 	.417 	.283 	.781 	.50 	2.50 	3.00 	5.0 	1.54 	.11 	2.56 	1.50 	17.5
 Tayshaun Prince 	82 	82 	37.3 	.450 	.397 	.778 	1.60 	4.20 	5.80 	3.1 	.54 	.62 	1.23 	1.30 	14.2
 Rodney Stuckey 	79 	65 	31.9 	.439 	.295 	.803 	.90 	2.60 	3.50 	4.9 	.99 	.14 	2.19 	2.70 	13.4
 Rasheed Wallace 	66 	63 	32.2 	.419 	.354 	.772 	.80 	6.60 	7.40 	1.4 	.94 	1.30 	.89 	3.00 	12.0
 Antonio McDyess 	62 	30 	30.1 	.510 	.000 	.698 	3.00 	6.80 	9.80 	1.3 	.66 	.81 	.82 	3.10 	9.6
 Will Bynum 	57 	1 	14.1 	.456 	.158 	.798 	.30 	1.00 	1.30 	2.8 	.60 	.04 	1.33 	1.50 	7.2
 Jason Maxiell 	78 	4 	18.1 	.575 	.000 	.532 	2.20 	2.00 	4.20 	.3 	.32 	.81 	.58 	2.00 	5.8
 Arron Afflalo 	74 	8 	16.7 	.437 	.402 	.817 	.40 	1.40 	1.80 	.6 	.38 	.18 	.58 	1.90 	4.9
 Kwame Brown 	58 	30 	17.2 	.533 	.000 	.516 	1.60 	3.40 	5.00 	.6 	.41 	.41 	.86 	2.40 	4.2
 Walter Herrmann 	59 	0 	10.7 	.396 	.342 	.760 	.50 	1.30 	1.80 	.4 	.12 	.07 	.29 	.70 	3.8
 Amir Johnson 	62 	24 	14.7 	.595 	.000 	.657 	1.60 	2.10 	3.70 	.3 	.32 	.97 	.53 	2.80 	3.5
Portland Trail Blazers
  Brandon Roy  	 78  	 78  	 37.2  	 .480  	 .377  	 .824 	 1.30 	 3.40 	 4.70 	 5.1 	 1.13 	 .28 	 1.95 	 1.60 	 22.6
 LaMarcus Aldridge 	81 	81 	37.1 	.484 	.250 	.781 	2.90 	4.60 	7.50 	1.9 	.95 	.95 	1.49 	2.60 	18.1
 Travis Outlaw 	81 	6 	27.7 	.453 	.377 	.723 	.90 	3.20 	4.10 	1.0 	.58 	.70 	1.16 	2.10 	12.8
 Steve Blake 	69 	69 	31.7 	.428 	.427 	.840 	.40 	2.10 	2.50 	5.0 	1.00 	.06 	1.57 	1.80 	11.0
 Rudy Fernandez 	78 	4 	25.6 	.425 	.399 	.839 	.60 	2.10 	2.70 	2.0 	.88 	.15 	1.10 	1.40 	10.4
 Greg Oden 	61 	39 	21.5 	.564 	.000 	.637 	2.80 	4.20 	7.00 	.5 	.41 	1.13 	1.43 	3.90 	8.9
 Joel Przybilla 	82 	43 	23.8 	.625 	.000 	.663 	2.50 	6.30 	8.70 	.3 	.41 	1.18 	.95 	2.60 	5.5
 Nicolas Batum 	79 	76 	18.4 	.446 	.369 	.808 	1.10 	1.70 	2.80 	.9 	.63 	.51 	.63 	1.80 	5.4
 Sergio Rodriguez 	80 	13 	15.3 	.392 	.325 	.792 	.50 	1.10 	1.60 	3.6 	.68 	.03 	1.49 	1.70 	4.5
 Jerryd Bayless 	53 	0 	12.4 	.365 	.259 	.806 	.20 	.90 	1.10 	1.5 	.30 	.04 	1.06 	1.50 	4.3
 Channing Frye 	63 	1 	11.8 	.423 	.333 	.722 	.70 	1.60 	2.20 	.4 	.27 	.25 	.46 	1.70 	4.2
 Shavlik Randolph 	10 	0 	3.7 	.615 	1.000 	.250 	1.00 	.80 	1.80 	.0 	.00 	.10 	.60 	.40 	1.8
Indiana Pacers
  Danny Granger  	 67  	 66  	 36.2  	 .447  	 .404  	 .878 	 .70 	 4.40 	 5.10 	 2.7 	 1.03 	 1.45 	 2.46 	 3.10 	 25.8
 Mike Dunleavy 	18 	14 	27.5 	.401 	.356 	.815 	.80 	3.00 	3.80 	2.4 	.67 	.50 	2.11 	2.00 	15.1
 T.J. Ford 	74 	49 	30.5 	.452 	.337 	.872 	.80 	2.70 	3.50 	5.3 	1.20 	.22 	2.43 	2.40 	14.9
